product_id,product_title,category,day,units,revenue
1,Smartphone X,electronics,2024-07-01,8,960.00
2,Blender Pro,home,2024-07-02,4,200.00
3,Laptop Z,electronics,2024-07-03,6,1200.00
4,Moisturizer Cream,beauty,2024-07-04,10,300.00
5,Fitness Tracker,sports,2024-07-05,7,420.00
6,Action Figure,toys,2024-07-06,5,150.00
7,Headphones Elite,electronics,2024-07-07,9,810.00
8,Air Fryer,home,2024-07-08,3,180.00
9,Smartwatch Y,electronics,2024-07-09,6,720.00
10,Perfume Essence,beauty,2024-07-10,8,400.00
11,Treadmill Pro,sports,2024-07-11,2,1000.00
12,Building Blocks,toys,2024-07-12,12,240.00
13,Tablet S,electronics,2024-07-13,5,750.00
14,Vacuum Cleaner,home,2024-07-14,4,320.00
15,Wireless Earbuds,electronics,2024-07-15,10,600.00
16,Face Serum,beauty,2024-07-16,7,280.00
17,Yoga Mat,sports,2024-07-17,6,180.00
18,Remote Car,toys,2024-07-18,8,320.00
19,Smart TV,electronics,2024-07-19,3,1500.00
20,Coffee Maker,home,2024-07-20,5,250.00
21,Gaming Console,electronics,2024-07-21,4,1200.00
22,Lipstick Vogue,beauty,2024-07-22,9,180.00
23,Dumbbell Set,sports,2024-07-23,3,240.00
24,Puzzle Game,toys,2024-07-24,10,200.00
25,Camera DSLR,electronics,2024-07-25,2,1400.00
26,Toaster Oven,home,2024-07-26,6,360.00
27,Smart Speaker,electronics,2024-07-27,7,490.00
28,Shampoo Herbal,beauty,2024-07-28,12,240.00
29,Exercise Bike,sports,2024-07-29,1,800.00
30,Board Game,toys,2024-07-30,8,160.00
31,Wireless Mouse,electronics,2024-07-31,10,300.00
32,Microwave Oven,home,2024-08-01,5,400.00
33,Portable Charger,electronics,2024-08-02,15,450.00
34,Facial Cleanser,beauty,2024-08-03,6,180.00
35,Jump Rope,sports,2024-08-04,9,90.00
36,Stuffed Animal,toys,2024-08-05,7,210.00
37,Smart Thermostat,electronics,2024-08-06,4,600.00
38,Food Processor,home,2024-08-07,3,270.00
39,Wireless Keyboard,electronics,2024-08-08,8,480.00
40,Hair Dryer,beauty,2024-08-09,5,250.00
41,Resistance Bands,sports,2024-08-10,10,200.00
42,Model Train,toys,2024-08-11,4,360.00
43,Security Camera,electronics,2024-08-12,6,720.00
44,Blender Compact,home,2024-08-13,7,210.00
45,Smart Light Bulb,electronics,2024-08-14,12,360.00
46,Nail Polish,beauty,2024-08-15,15,150.00
47,Soccer Ball,sports,2024-08-16,8,160.00
48,LEGO Set,toys,2024-08-17,6,300.00
49,VR Headset,electronics,2024-08-18,2,1000.00
50,Electric Kettle,home,2024-08-19,5,200.00
51,Drone Camera,electronics,2024-08-20,3,900.00
52,Body Lotion,beauty,2024-08-21,9,270.00
53,Tennis Racket,sports,2024-08-22,4,320.00
54,Robot Toy,toys,2024-08-23,7,280.00
55,Smart Doorbell,electronics,2024-08-24,5,750.00
56,Air Purifier,home,2024-08-25,6,600.00
57,Gaming Mouse,electronics,2024-08-26,8,400.00
58,Eye Cream,beauty,2024-08-27,10,300.00
59,Skateboard,sports,2024-08-28,3,210.00
60,Plush Toy,toys,2024-08-29,9,180.00
61,Smart Plug,electronics,2024-08-30,12,240.00
62,Juicer Machine,home,2024-08-31,4,320.00
63,Bluetooth Speaker,electronics,2024-09-01,7,420.00
64,Sunscreen Lotion,beauty,2024-09-02,8,240.00
65,Basketball,sports,2024-09-03,6,180.00
66,Card Game,toys,2024-09-04,10,200.00
67,Smart Lock,electronics,2024-09-05,3,600.00
68,Pressure Cooker,home,2024-09-06,5,400.00
69,USB Hub,electronics,2024-09-07,9,270.00
70,Face Mask,beauty,2024-09-08,12,180.00
71,Boxing Gloves,sports,2024-09-09,4,240.00
72,Action Toy,toys,2024-09-10,8,320.00
73,External Hard Drive,electronics,2024-09-11,6,540.00
74,Food Mixer,home,2024-09-12,7,350.00
75,Webcam HD,electronics,2024-09-13,5,400.00
76,Hand Cream,beauty,2024-09-14,10,200.00
77,Gym Bag,sports,2024-09-15,6,240.00
78,Puzzle Toy,toys,2024-09-16,9,180.00
79,Smart Scale,electronics,2024-09-17,4,360.00
80,Electric Grill,home,2024-09-18,3,300.00
81,Wireless Router,electronics,2024-09-19,7,490.00
82,Lip Balm,beauty,2024-09-20,15,150.00
83,Football,sports,2024-09-21,8,200.00
84,Building Kit,toys,2024-09-22,6,240.00
85,Smart Camera,electronics,2024-09-23,2,800.00
86,Toaster,home,2024-09-24,5,250.00
87,Portable Speaker,electronics,2024-09-25,9,360.00
88,Shaving Cream,beauty,2024-09-26,12,180.00
89,Weight Set,sports,2024-09-27,3,450.00
90,Doll House,toys,2024-09-28,7,350.00
91,Smart Monitor,electronics,2024-09-29,4,1200.00
92,Food Blender,home,2024-09-30,6,300.00
93,Gaming Headset,electronics,2024-07-01,8,640.00
94,Hair Gel,beauty,2024-07-02,10,200.00
95,Jump Rope,sports,2024-07-03,9,90.00
96,Toy Car,toys,2024-07-04,5,150.00
97,Smart Fan,electronics,2024-07-05,3,450.00
98,Stand Mixer,home,2024-07-06,4,400.00
99,USB Charger,electronics,2024-07-07,12,240.00
100,Body Wash,beauty,2024-07-08,8,160.00
101,Smartphone X,electronics,2024-07-09,7,840.00
102,Blender Pro,home,2024-07-10,5,250.00
103,Laptop Z,electronics,2024-07-11,6,1200.00
104,Moisturizer Cream,beauty,2024-07-12,9,270.00
105,Fitness Tracker,sports,2024-07-13,8,480.00
106,Action Figure,toys,2024-07-14,10,200.00
107,Headphones Elite,electronics,2024-07-15,4,360.00
108,Air Fryer,home,2024-07-16,3,180.00
109,Smartwatch Y,electronics,2024-07-17,7,840.00
110,Perfume Essence,beauty,2024-07-18,6,300.00
111,Treadmill Pro,sports,2024-07-19,2,1000.00
112,Building Blocks,toys,2024-07-20,8,160.00
113,Tablet S,electronics,2024-07-21,5,750.00
114,Vacuum Cleaner,home,2024-07-22,4,320.00
115,Wireless Earbuds,electronics,2024-07-23,9,540.00
116,Face Serum,beauty,2024-07-24,10,300.00
117,Yoga Mat,sports,2024-07-25,6,180.00
118,Remote Car,toys,2024-07-26,7,280.00
119,Smart TV,electronics,2024-07-27,3,1500.00
120,Coffee Maker,home,2024-07-28,5,250.00
121,Gaming Console,electronics,2024-07-29,4,1200.00
122,Lipstick Vogue,beauty,2024-07-30,8,160.00
123,Dumbbell Set,sports,2024-07-31,3,240.00
124,Puzzle Game,toys,2024-08-01,9,180.00
125,Camera DSLR,electronics,2024-08-02,2,1400.00
126,Toaster Oven,home,2024-08-03,6,360.00
127,Smart Speaker,electronics,2024-08-04,7,490.00
128,Shampoo Herbal,beauty,2024-08-05,10,200.00
129,Exercise Bike,sports,2024-08-06,1,800.00
130,Board Game,toys,2024-08-07,8,160.00
131,Wireless Mouse,electronics,2024-08-08,12,360.00
132,Microwave Oven,home,2024-08-09,5,400.00
133,Portable Charger,electronics,2024-08-10,15,450.00
134,Facial Cleanser,beauty,2024-08-11,6,180.00
135,Jump Rope,sports,2024-08-12,9,90.00
136,Stuffed Animal,toys,2024-08-13,7,210.00
137,Smart Thermostat,electronics,2024-08-14,4,600.00
138,Food Processor,home,2024-08-15,3,270.00
139,Wireless Keyboard,electronics,2024-08-16,8,480.00
140,Hair Dryer,beauty,2024-08-17,5,250.00
141,Resistance Bands,sports,2024-08-18,10,200.00
142,Model Train,toys,2024-08-19,4,360.00
143,Security Camera,electronics,2024-08-20,6,720.00
144,Blender Compact,home,2024-08-21,7,210.00
145,Smart Light Bulb,electronics,2024-08-22,12,360.00
146,Nail Polish,beauty,2024-08-23,15,150.00
147,Soccer Ball,sports,2024-08-24,8,160.00
148,LEGO Set,toys,2024-08-25,6,300.00
149,VR Headset,electronics,2024-08-26,2,1000.00
150,Electric Kettle,home,2024-08-27,5,200.00
151,Drone Camera,electronics,2024-08-28,3,900.00
152,Body Lotion,beauty,2024-08-29,9,270.00
153,Tennis Racket,sports,2024-08-30,4,320.00
154,Robot Toy,toys,2024-08-31,7,280.00
155,Smart Doorbell,electronics,2024-09-01,5,750.00
156,Air Purifier,home,2024-09-02,6,600.00
157,Gaming Mouse,electronics,2024-09-03,8,400.00
158,Eye Cream,beauty,2024-09-04,10,300.00
159,Skateboard,sports,2024-09-05,3,210.00
160,Plush Toy,toys,2024-09-06,9,180.00
161,Smart Plug,electronics,2024-09-07,12,240.00
162,Juicer Machine,home,2024-09-08,4,320.00
163,Bluetooth Speaker,electronics,2024-09-09,7,420.00
164,Sunscreen Lotion,beauty,2024-09-10,8,240.00
165,Basketball,sports,2024-09-11,6,180.00
166,Card Game,toys,2024-09-12,10,200.00
167,Smart Lock,electronics,2024-09-13,3,600.00
168,Pressure Cooker,home,2024-09-14,5,400.00
